time,open,high,low,close
2017-10-04T00:00:00Z,4307,4307,4307,4307
2017-10-04T08:00:00Z,4307,4307,4307,4307
2017-10-05T08:00:00Z,3500,3500,3500,3500
2017-10-06T00:00:00Z,4860,4860,4860,4860
2017-10-07T00:00:00Z,3850,3850,3850,3850
2017-10-07T08:00:00Z,4858,4858,4858,4858
2017-10-09T00:00:00Z,4500,4500,3900,4300
2017-10-09T08:00:00Z,4840,4850,4840,4850
2017-10-12T08:00:00Z,4840,4840,3900,3900
2017-10-13T16:00:00Z,5730,5730,5730,5730
2017-10-14T08:00:00Z,5729,5729,5729,5729
2017-10-15T08:00:00Z,5730,5730,5730,5730
2017-10-17T00:00:00Z,5730,5730,5730,5730
2017-10-18T00:00:00Z,4954.61806451,4954.61806451,4950,4950
2017-10-18T08:00:00Z,4950,5533.74436318,3800,3974.19505823
2017-10-18T16:00:00Z,3996.86601745,4318.73270151,3806.38167633,3812.00423816
2017-10-19T00:00:00Z,3812.00422456,5693.2105144,3806.38167633,5123.4139132
2017-10-19T08:00:00Z,5093.2105144,5693.2105144,5093.2105144,5408.34999992
2017-10-19T16:00:00Z,5137.93249992,5692.99420419,5093.25000001,5137.92726916
2017-10-20T00:00:00Z,5137.92726916,5693.2105144,5137.92726916,5691.99999986
2017-10-20T08:00:00Z,5691.99999986,5998.20783052,5409.00000001,5998.20783051
2017-10-20T16:00:00Z,5698.29743897,5998.20783053,5691.99999971,5698.29743879
2017-10-21T00:00:00Z,5698.29743879,6659.99999998,5691.99999971,6091.11576636
2017-10-21T08:00:00Z,6091.11576636,6598.46250002,5699.99999996,6343.99579124
2017-10-21T16:00:00Z,5985,6060,5699.99999999,5985.00000004
2017-10-22T00:00:00Z,5985.00000005,6659.99999999,5691.99999972,5691.99999972
2017-10-22T08:00:00Z,6499.99999999,6500,5691.99999972,6062.12047142
2017-10-22T16:00:00Z,6062.12047143,6500,5933.00000001,6500
2017-10-23T00:00:00Z,6229.65000043,6500,5700,6199.99999999
2017-10-23T08:00:00Z,5700.00000001,6199.99999999,5691.99999971,5691.99999972
2017-10-23T16:00:00Z,6143.00983019,6149.99999999,5691.99999972,6149.99999999
2017-10-24T00:00:00Z,6149.99999999,6149.99999999,5691.99999971,5693.23000001
2017-10-24T08:00:00Z,5749.99999999,5749.99999999,5269.27601722,5269.27601798
2017-10-24T16:00:00Z,5269.276018,5801.99999999,5269.276017,5731.99999998
2017-10-25T00:00:00Z,5280,5720.33999999,5170.9931872,5282
2017-10-25T08:00:00Z,5497.99999999,5499,5286.00000001,5449.99999999
2017-10-25T16:00:00Z,5450,5779.99999999,5282,5779.99999999
2017-10-26T00:00:00Z,5779.99999999,5992.82938399,5450,5808.99999999
2017-10-26T08:00:00Z,5808.99999999,6029.99999999,5600.00000001,5989
2017-10-26T16:00:00Z,5900,6010,5688,6010
2017-10-27T00:00:00Z,5768,5999,5688.00000001,5900
2017-10-27T08:00:00Z,5920,5979.99999999,5668,5954.998998
2017-10-27T16:00:00Z,5681.000001,5944.899999,5286.00001,5699.999999
2017-10-28T00:00:00Z,5774.22,5917.999999,5639.000002,5899.998996
2017-10-28T08:00:00Z,5648.000002,5999,5639,5643.000001
2017-10-28T16:00:00Z,5638.000001,5800,5420.000001,5701
2017-10-29T00:00:00Z,5701,5890,5701,5879.999993
2017-10-29T08:00:00Z,5750.000001,5889,5451.000001,5889
2017-10-29T16:00:00Z,5889,6149.999999,5614,6016.016017
2017-10-30T00:00:00Z,6016.016017,6189,5799,6099.99
2017-10-30T08:00:00Z,6100,6474.999999,5895,6049
2017-10-30T16:00:00Z,6048.999999,6249.999999,6004.999999,6246.989999
2017-10-31T00:00:00Z,6132,6249.999999,6131,6236.987999
2017-10-31T08:00:00Z,6131.000002,6474.999999,6001,6390.000001
2017-10-31T16:00:00Z,6390,6470,6300,6310.200001
2017-11-01T00:00:00Z,6467.999999,6650,6310.10002,6638.777799
2017-11-01T08:00:00Z,6637.999999,6770,6400,6650.7
2017-11-01T16:00:00Z,6650.7,6874.8,6426.000001,6874.8
2017-11-02T00:00:00Z,6873.999999,7050,6725,6900.01
2017-11-02T08:00:00Z,6900.01,7300,6425,6988
2017-11-02T16:00:00Z,6988,6988,6770,6988
2017-11-03T00:00:00Z,6988,7250,6851,7249.999999
2017-11-03T08:00:00Z,7250,7398,6902,7299.899899
2017-11-03T16:00:00Z,7299.899899,7379.999999,7000,7284
2017-11-04T00:00:00Z,7000.01,7284,7000.01,7180
2017-11-04T08:00:00Z,7001.1,7385,7001,7384
2017-11-04T16:00:00Z,7384,7600,7300,7390
2017-11-05T00:00:00Z,7305,7444,7006.000001,7300.000001
2017-11-05T08:00:00Z,7300.000001,7700,7300.000001,7630
2017-11-05T16:00:00Z,7500.000001,7600,7300.000002,7305.000002
2017-11-06T00:00:00Z,7307.000001,7599.9,7182,7200.9
2017-11-06T08:00:00Z,7200.000001,7598,7200,7272.000001
2017-11-06T16:00:00Z,7272.000001,7530.78472264,6902,7000
2017-11-07T00:00:00Z,7000,7200,7000,7030.000001
2017-11-07T08:00:00Z,7002.090001,7400,6931.000001,6931.000002
2017-11-07T16:00:00Z,6931.000003,7150,6902.000001,7150
2017-11-08T00:00:00Z,7140,7400,7140,7398.999978
2017-11-08T08:00:00Z,7091,7490,7091,7357.000001
2017-11-08T16:00:00Z,7357.000001,7775,6850,7062.000001
2017-11-09T00:00:00Z,7100,7450,7100,7397
2017-11-09T08:00:00Z,7397,7398,7116,7117.000001
2017-11-09T16:00:00Z,7117.000001,7233,7115,7115
2017-11-10T00:00:00Z,7115,7286.5,7115,7115.100001
2017-11-10T08:00:00Z,7285.88,7285.890001,6600,6636
2017-11-10T16:00:00Z,6790,6820,6188.000001,6290.000001
2017-11-11T00:00:00Z,6290.000001,6799,6290.000001,6550.100001
2017-11-11T08:00:00Z,6555.000001,6799,6227,6229.1
2017-11-11T16:00:00Z,6227.010001,6600,6227,6236.100001
2017-11-12T00:00:00Z,6236.100001,6375,5005,6199
2017-11-12T08:00:00Z,6199.000001,6850,5450.100001,5703.000001
2017-11-12T16:00:00Z,6850,6850,5600,5600
2017-11-13T00:00:00Z,5750.000001,6488,5750.000001,6202.000001
2017-11-13T08:00:00Z,6202,6870,6102,6450
2017-11-13T16:00:00Z,6450,6701,5912,6050.000085
2017-11-14T00:00:00Z,6700,6700,6050.000081,6500
2017-11-14T08:00:00Z,6521,6797,6250.000001,6510
2017-11-14T16:00:00Z,6520,6520,6271.000001,6271.000001
2017-11-15T00:00:00Z,6271,7099,6270.000003,7096.999999
2017-11-15T08:00:00Z,6811.000001,7200,6500.000001,6688.550001
2017-11-15T16:00:00Z,7200,7300,6549.000001,6999.999999
2017-11-16T00:00:00Z,6999.999999,7270,6549.000001,7160.000001
2017-11-16T08:00:00Z,7165,8599,6966.000001,7250.000002
2017-11-16T16:00:00Z,7479.299899,8138,7250.000002,7655.000001
2017-11-17T00:00:00Z,7700,8100,7501.000115,7501.000115
2017-11-17T08:00:00Z,7555.000001,7985,7501.000115,7800.000002
2017-11-17T16:00:00Z,7897.99998,7897.99998,7505.000004,7700.000001
2017-11-18T00:00:00Z,7505.000004,7800,7505.000004,7661
2017-11-18T08:00:00Z,7660,7798.999999,7511.000001,7660
2017-11-18T16:00:00Z,7660,7799,7660,7661
2017-11-19T00:00:00Z,7661.000001,7799,7560.000001,7650.000001
2017-11-19T08:00:00Z,7652.000001,7795.999999,7651,7653.000002
2017-11-19T16:00:00Z,7653,8100,7653,7660.100007
2017-11-20T00:00:00Z,8000,8100,7670.000001,7678.000001
2017-11-20T08:00:00Z,7678,8271,7677,8271
2017-11-20T16:00:00Z,8249.999999,8300,8050.000001,8300
2017-11-21T00:00:00Z,8150,8500,7800.000001,8025.000002
2017-11-21T08:00:00Z,8025.000002,8422.499951,8025.000002,8338.5
2017-11-21T16:00:00Z,8498.999995,8498.999995,8102.000011,8183.765004
2017-11-22T00:00:00Z,8183.765004,8381.99995,8136.000001,8210
2017-11-22T08:00:00Z,8210,8497.999999,8122.000001,8272.5
2017-11-22T16:00:00Z,8226,8345,8121.000009,8287.499995
2017-11-23T00:00:00Z,8287.5,8385.749998,8200.000001,8273.999994
2017-11-23T08:00:00Z,8273.999994,8349.999949,8121.000008,8287.5
2017-11-23T16:00:00Z,8300,8314.999999,8000.000001,8090.49995
2017-11-24T00:00:00Z,8090.499948,8286.999951,7835.388408,8244.500005
