time,open,high,low,close
2017-10-04T04:00:00Z,4307,4307,4307,4307
2017-10-04T08:00:00Z,4307,4307,4307,4307
2017-10-05T12:00:00Z,3500,3500,3500,3500
2017-10-06T00:00:00Z,4860,4860,4860,4860
2017-10-07T00:00:00Z,3850,3850,3850,3850
2017-10-07T12:00:00Z,4858,4858,4858,4858
2017-10-09T00:00:00Z,4500,4500,4500,4500
2017-10-09T04:00:00Z,4500,4500,3900,4300
2017-10-09T12:00:00Z,4840,4850,4840,4850
2017-10-12T08:00:00Z,4840,4840,3900,3900
2017-10-13T16:00:00Z,5730,5730,5730,5730
2017-10-14T12:00:00Z,5729,5729,5729,5729
2017-10-15T12:00:00Z,5730,5730,5730,5730
2017-10-17T00:00:00Z,5730,5730,5730,5730
2017-10-18T04:00:00Z,4954.61806451,4954.61806451,4950,4950
2017-10-18T08:00:00Z,4950,4950,4950,4950
2017-10-18T12:00:00Z,5533.74436318,5533.74436318,3800,3974.19505823
2017-10-18T16:00:00Z,3996.86601745,4318.73270151,3806.38167633,3811.10100186
2017-10-18T20:00:00Z,3811.10100131,4088.28060927,3811.101,3812.00423816
2017-10-19T00:00:00Z,3812.00422456,5548.23140944,3812,4060.4029548
2017-10-19T04:00:00Z,4060.02149372,5693.2105144,3806.38167633,5123.4139132
2017-10-19T08:00:00Z,5093.2105144,5693.2105144,5093.2105144,5093.210517
2017-10-19T12:00:00Z,5094.1493288,5693,5093.21053482,5408.34999992
2017-10-19T16:00:00Z,5137.93249992,5408.34999993,5093.25000001,5408.34999982
2017-10-19T20:00:00Z,5408.34999982,5692.99420419,5093.25000001,5137.92726916
2017-10-20T00:00:00Z,5137.92726916,5693.2105144,5137.92726916,5693.21051438
2017-10-20T04:00:00Z,5693.21051438,5693.21051438,5409,5691.99999986
2017-10-20T08:00:00Z,5691.99999986,5691.99999986,5409.00000001,5691.99999972
2017-10-20T12:00:00Z,5409.00000001,5998.20783052,5409.00000001,5998.20783051
2017-10-20T16:00:00Z,5698.29743897,5698.29743897,5691.99999971,5691.99999971
2017-10-20T20:00:00Z,5698.29743873,5998.20783053,5691.99999971,5698.29743879
2017-10-21T00:00:00Z,5698.29743879,6000,5691.99999971,5976.59999974
2017-10-21T04:00:00Z,5999.99999999,6659.99999998,5691.99999971,6091.11576636
2017-10-21T12:00:00Z,6091.11576636,6598.46250002,5699.99999996,6343.99579124
2017-10-21T16:00:00Z,5985,5985,5752.31798224,5931.57928004
2017-10-21T20:00:00Z,5699.99999999,6060,5699.99999999,5985.00000004
2017-10-22T00:00:00Z,5985.00000005,6659.99999999,5985.00000005,6131.65271182
2017-10-22T04:00:00Z,5985.00000009,6659.99999998,5691.99999972,5691.99999972
2017-10-22T08:00:00Z,6499.99999999,6500,5691.99999972,6076.33610421
2017-10-22T12:00:00Z,5691.99999972,6500,5691.99999972,6062.12047142
2017-10-22T16:00:00Z,6062.12047143,6499,5933.00000001,6228
2017-10-22T20:00:00Z,5934.00000004,6500,5933.00000001,6500
2017-10-23T00:00:00Z,6229.65000043,6500,5933.00000001,6499
2017-10-23T04:00:00Z,5933.00000001,6498.99999999,5700,6199.99999999
2017-10-23T08:00:00Z,5700.00000001,6199.99999999,5691.99999973,6197.99999999
2017-10-23T12:00:00Z,6184.74424727,6184.74424727,5691.99999971,5691.99999972
2017-10-23T16:00:00Z,6143.00983019,6149.99999999,5691.99999972,5691.99999972
2017-10-23T20:00:00Z,5691.99999972,6149.99999999,5691.99999972,6149.99999999
2017-10-24T00:00:00Z,6149.99999999,6149.99999999,5691.99999971,5945.32999999
2017-10-24T04:00:00Z,5945.32999999,5945.32999999,5691.99999971,5693.23000001
2017-10-24T08:00:00Z,5749.99999999,5749.99999999,5347.73719869,5749.99999999
2017-10-24T12:00:00Z,5749.99999999,5749.99999999,5269.27601722,5269.27601798
2017-10-24T16:00:00Z,5269.276018,5749.99999999,5269.276017,5749.99999999
2017-10-24T20:00:00Z,5280.00000001,5801.99999999,5280,5731.99999998
2017-10-25T00:00:00Z,5280,5720.33999999,5250,5629.99999999
2017-10-25T04:00:00Z,5624.99999999,5678.21999999,5170.9931872,5282
2017-10-25T08:00:00Z,5497.99999999,5499,5286.00000001,5494.99999999
2017-10-25T12:00:00Z,5497.99999999,5499,5300,5449.99999999
2017-10-25T16:00:00Z,5450,5599.99999999,5282,5282
2017-10-25T20:00:00Z,5500,5779.99999999,5450.00000001,5779.99999999
2017-10-26T00:00:00Z,5779.99999999,5992.82938399,5450,5809.99999999
2017-10-26T04:00:00Z,5808.99999999,5809.99999999,5600,5808.99999999
2017-10-26T08:00:00Z,5808.99999999,5808.99999999,5600.00000001,5665.00000301
2017-10-26T12:00:00Z,5805.99999999,6029.99999999,5665.00000301,5989
2017-10-26T16:00:00Z,5900,5940,5768,5937.9
2017-10-26T20:00:00Z,5768.1,6010,5688,6010
2017-10-27T00:00:00Z,5768,5999,5688.00000001,5768
2017-10-27T04:00:00Z,5768.00110001,5900,5768.00110001,5900
2017-10-27T08:00:00Z,5920,5979.99999999,5768.0012,5974.999999
2017-10-27T12:00:00Z,5974.999999,5974.999999,5668,5954.998998
2017-10-27T16:00:00Z,5681.000001,5944.899999,5665,5779.999999
2017-10-27T20:00:00Z,5779.999999,5917.999999,5286.00001,5699.999999
2017-10-28T00:00:00Z,5774.22,5917.999999,5639.000002,5645.000001
2017-10-28T04:00:00Z,5645.000001,5899.999999,5645,5899.998996
2017-10-28T08:00:00Z,5648.000002,5999,5639,5999
2017-10-28T12:00:00Z,5640,5888.99,5640,5643.000001
2017-10-28T16:00:00Z,5638.000001,5799.999999,5420.000001,5797.999999
2017-10-28T20:00:00Z,5797.999999,5800,5673,5701
2017-10-29T00:00:00Z,5701,5798,5701,5750
2017-10-29T04:00:00Z,5750,5890,5750,5879.999993
2017-10-29T08:00:00Z,5750.000001,5879.999993,5451.000001,5875.999999
2017-10-29T12:00:00Z,5780.000001,5889,5471,5889
2017-10-29T16:00:00Z,5889,5949,5614,5948.999999
2017-10-29T20:00:00Z,5948.999999,6149.999999,5948.999999,6016.016017
2017-10-30T00:00:00Z,6016.016017,6180,5799,6179.999999
2017-10-30T04:00:00Z,6179.999999,6189,6099.99,6099.99
2017-10-30T08:00:00Z,6100,6474.999999,6099.99,6250
2017-10-30T12:00:00Z,6279.999999,6279.999999,5895,6049
2017-10-30T16:00:00Z,6048.999999,6132.6896,6004.999999,6132.689599
2017-10-30T20:00:00Z,6132.6896,6249.999999,6131,6246.989999
2017-10-31T00:00:00Z,6132,6249.999999,6131,6218.999999
2017-10-31T04:00:00Z,6180.999999,6240,6131,6236.987999
2017-10-31T08:00:00Z,6131.000002,6235.999999,6001,6219.999999
2017-10-31T12:00:00Z,6220,6474.999999,6150.000001,6390.000001
2017-10-31T16:00:00Z,6390,6390,6300,6374.999999
2017-10-31T20:00:00Z,6374.999999,6470,6306.30630731,6310.200001
2017-11-01T00:00:00Z,6467.999999,6500,6310.10002,6472.999999
2017-11-01T04:00:00Z,6455,6650,6401.000001,6638.777799
2017-11-01T08:00:00Z,6637.999999,6770,6500.000001,6550.500001
2017-11-01T12:00:00Z,6599.999999,6650.7,6400,6650.7
