time,open,high,low,close
2022-01-01T00:00:00Z,46216.4,46527.9,46210.4,46375.1
2022-01-01T00:30:00Z,46375.5,46767.3,46357.8,46649.2
2022-01-01T01:00:00Z,46649.2,46929,46575.3,46810.1
2022-01-01T01:30:00Z,46810,46885.6,46724,46780.1
2022-01-01T02:00:00Z,46780,46927.7,46775.8,46823.9
2022-01-01T02:30:00Z,46823.8,46854,46724.7,46802.7
2022-01-01T03:00:00Z,46802.7,46938.5,46757.9,46810.1
2022-01-01T03:30:00Z,46810.1,46898.1,46808.1,46820.1
2022-01-01T04:00:00Z,46820,46884.1,46621.7,46705.1
2022-01-01T04:30:00Z,46705.1,46827.4,46634.2,46710.2
2022-01-01T05:00:00Z,46710.2,47498,46671.9,47397.1
2022-01-01T05:30:00Z,47397.2,47560,47150.2,47192.6
2022-01-01T06:00:00Z,47197.2,47327.9,47099.5,47135.9
2022-01-01T06:30:00Z,47135.9,47240.2,46931,46981.4
2022-01-01T07:00:00Z,46981.5,47055.3,46910.7,46956.4
2022-01-01T07:30:00Z,46956.4,47250,46943.9,47196.4
2022-01-01T08:00:00Z,47196.5,47336.5,47083.4,47313.1
2022-01-01T08:30:00Z,47313.2,47313.2,47091,47111.9
2022-01-01T09:00:00Z,47112,47206.6,47066,47090.3
2022-01-01T09:30:00Z,47090.4,47149.9,46934.3,47146
2022-01-01T10:00:00Z,47145.9,47290,46828,46866
2022-01-01T10:30:00Z,46865.9,47077.3,46711,46867.6
2022-01-01T11:00:00Z,46867.6,47007.3,46861,46967.3
2022-01-01T11:30:00Z,46967.2,46987.5,46756.3,46762.9
2022-01-01T12:00:00Z,46763,47010.2,46763,46958.2
2022-01-01T12:30:00Z,46958.2,47141.9,46943.2,47074
2022-01-01T13:00:00Z,47073.9,47190.7,46993.1,47028.6
2022-01-01T13:30:00Z,47031.1,47093.6,46938.4,47020.2
2022-01-01T14:00:00Z,47020.1,47116.5,46957.8,47043.9
2022-01-01T14:30:00Z,47044,47055.8,46870.6,46924.5
2022-01-01T15:00:00Z,46924.5,47031,46871.2,47022.7
2022-01-01T15:30:00Z,47022.7,47490,46999.4,47217
2022-01-01T16:00:00Z,47217,47517,47183.2,47479.5
2022-01-01T16:30:00Z,47479.6,47499.8,47249.9,47274
2022-01-01T17:00:00Z,47274,47372.3,47242.2,47334.9
2022-01-01T17:30:00Z,47335,47936.7,47327.3,47748.4
2022-01-01T18:00:00Z,47748.5,47837.9,47611.2,47647
2022-01-01T18:30:00Z,47647,47670.8,47427.2,47576
2022-01-01T19:00:00Z,47576,47626.4,47344,47390.3
2022-01-01T19:30:00Z,47390.3,47413.8,47299.5,47333.7
2022-01-01T20:00:00Z,47333.7,47442.1,47264,47418
2022-01-01T20:30:00Z,47418,47562.8,47358.2,47398.7
2022-01-01T21:00:00Z,47398.7,47536.1,47344,47365.4
2022-01-01T21:30:00Z,47365.4,47494.1,47280,47326.9
2022-01-01T22:00:00Z,47326.9,47413.2,47224.8,47391
2022-01-01T22:30:00Z,47390.9,47485.2,47375.5,47444.3
2022-01-01T23:00:00Z,47444.2,47479.8,47285.1,47438.5
2022-01-01T23:30:00Z,47438.5,47812.9,47370.5,47728.6
2022-01-02T00:00:00Z,47728.6,47761.9,47383.2,47544.2
2022-01-02T00:30:00Z,47546.6,47691.2,47499.4,47624.9
2022-01-02T01:00:00Z,47624.9,47639.6,47416,47455.5
2022-01-02T01:30:00Z,47455.5,47480,47313.9,47369.1
2022-01-02T02:00:00Z,47369,47448.4,47312.3,47327
2022-01-02T02:30:00Z,47326.9,47429.9,47271,47377.1
2022-01-02T03:00:00Z,47377.1,47395.2,47268,47383.1
2022-01-02T03:30:00Z,47383,47461.1,47280.6,47336.6
2022-01-02T04:00:00Z,47333.8,47419.1,47283,47304.9
2022-01-02T04:30:00Z,47304.9,47380.8,46750.1,46908.5
2022-01-02T05:00:00Z,46908.4,46997.8,46833.7,46938.4
2022-01-02T05:30:00Z,46938.5,47088.4,46919.1,47083.3
2022-01-02T06:00:00Z,47083.2,47189.8,47013.3,47102.7
2022-01-02T06:30:00Z,47102.7,47241.6,47061.2,47124.7
2022-01-02T07:00:00Z,47123.4,47207.5,47092.7,47185.2
2022-01-02T07:30:00Z,47185.3,47286,47102.9,47182.1
2022-01-02T08:00:00Z,47182,47226.1,46982.9,47168
2022-01-02T08:30:00Z,47168.1,47248.8,47055.2,47216
2022-01-02T09:00:00Z,47216,47483,47146.3,47342.6
2022-01-02T09:30:00Z,47340,47390.3,47267.9,47279.4
2022-01-02T10:00:00Z,47279.4,47344.3,47255.4,47276.7
2022-01-02T10:30:00Z,47276.7,47320.2,47135.8,47190.8
2022-01-02T11:00:00Z,47190.8,47328.4,47163.8,47304.7
2022-01-02T11:30:00Z,47304.7,47396.9,47199.2,47238.3
2022-01-02T12:00:00Z,47238.3,47251,47020.3,47158
2022-01-02T12:30:00Z,47158,47445,47145.7,47290.6
